,duration,id,sentences,timestamps
2,225.42000000000002,v_BxzOUJbq28s, A third drum is added to the drumming mix.,"[181.46, 225.42]"
0,166.51,v_Z8yNbpjUSLc,A woman is in a kitchen talking about how to make lemonde.,"[6.66, 116.56]"
1,166.51,v_Z8yNbpjUSLc, She presents various ingredients that you need to have.,"[24.14, 51.62]"
2,166.51,v_Z8yNbpjUSLc, She blends all the juices together into a grinder to make a mixture.,"[81.59, 119.06]"
3,166.51,v_Z8yNbpjUSLc, She then pours the mixture into a glass and drinks the juice.,"[123.22, 149.03]"
0,46.16,v_6uhLrPgbpUA,"Several bicycle racers dressed in motocross suits and wearing helmets are lined up at the start line, waiting to race.","[0, 5.08]"
1,46.16,v_6uhLrPgbpUA," The race begins, and all bikers race down a hill, toward a jump.","[5.31, 8.77]"
2,46.16,v_6uhLrPgbpUA," The bikers jump off a hill, but one of the bikers, dressed in red and black, tumbles to the ground.","[8.77, 10.39]"
3,46.16,v_6uhLrPgbpUA," The biker immediately behind him, dressed in red, white and blue, tries to avoid the fallen biker, and falls to the ground as well.","[10.39, 11.77]"
4,46.16,v_6uhLrPgbpUA, The other bikers race off.,"[11.77, 12.23]"
5,46.16,v_6uhLrPgbpUA," The biker in black and red immediately trots off the track, while the biker in red, white and blue, is clearly injured and struggles to get to his knees.","[12.46, 15.69]"
6,46.16,v_6uhLrPgbpUA, Three men dressed in black jackets come to the aid of the first biker.,"[15.93, 25.62]"
0,11.73,v_jIQFVSymHQs,An inflatable ball bounces on the grass as kids watch playing a game.,"[0, 2.52]"
1,11.73,v_jIQFVSymHQs, A young boy in blue shirt and jeans retrieves the ball and runs towards the group.,"[2.46, 11.73]"
0,50.62,v_2U0vMYnC49c,A boy in red jacket holds a window scraper tool and remove snow from a car windshield.,"[0, 36.95]"
1,50.62,v_2U0vMYnC49c, The boy turns the tool and uses the edge corner edge briefly.,"[37.46, 42.77]"
2,50.62,v_2U0vMYnC49c, The boy continues to scrape the windshield as before with the broad side of the tool.,"[42.77, 50.62]"
0,121.53,v_gKkk82LG8H0,Group play the bongos while a young woman dances.,"[0, 121.53]"
1,121.53,v_gKkk82LG8H0, A couple walks past the group.,"[26.13, 32.21]"
2,121.53,v_gKkk82LG8H0, The drummer gives the camera a thumbs up gesture.,"[36.46, 40.71]"
3,121.53,v_gKkk82LG8H0, Lots of people pass in the background.,"[53.47, 68.06]"
4,121.53,v_gKkk82LG8H0, A small group are looking on at the musicians.,"[81.43, 111.2]"
5,121.53,v_gKkk82LG8H0, The dancer poses with 2 other women.,"[111.2, 121.53]"
0,102.8,v_UvuXGKesWS0,The words Freestyle Swimming float across the screen.,"[0, 8.22]"
1,102.8,v_UvuXGKesWS0, A man jumps in the pool and swims freestyle.,"[8.22, 33.41]"
2,102.8,v_UvuXGKesWS0, The words BackStroke Style float across the screen.,"[33.41, 39.58]"
3,102.8,v_UvuXGKesWS0, The same man swims backstroke down the lane from where he came.,"[39.58, 65.27]"
4,102.8,v_UvuXGKesWS0, The words BreastStroke show up on the screen.,"[65.27, 70.41]"
5,102.8,v_UvuXGKesWS0, The man does the breaststroke back across the pool.,"[70.41, 102.8]"
0,33.46,v_gY5akj1YcMk,A man does wave wheels in a canoe.,"[6.69, 27.44]"
1,33.46,v_gY5akj1YcMk," He is shown doing downstream momentum, rolling over in his canoe.","[10.54, 15.06]"
2,33.46,v_gY5akj1YcMk, Now we see set edge and plant blade as he moves upstream.,"[17.9, 26.6]"
0,228.09,v_T9JSNxOyUQA,A large group of people is standing and walking around several stacks of inner-tubes and a bus.,"[0, 19.39]"
1,228.09,v_T9JSNxOyUQA, Two young children are sitting in one of the bus seats.,"[19.39, 21.67]"
2,228.09,v_T9JSNxOyUQA, A group of adults is riding in the bus talking.,"[22.81, 38.78]"
3,228.09,v_T9JSNxOyUQA, Several kids are in their inner-tubes in the water among other people floating on inner-tubes in the water.,"[41.06, 50.18]"
4,228.09,v_T9JSNxOyUQA, Several people are shown in canoes with people in inner-tubes in the background.,"[52.46, 58.16]"
5,228.09,v_T9JSNxOyUQA, A young girl sinks down in the middle of her inner-tube and jumps back up with her head soaked.,"[59.3, 70.71]"
6,228.09,v_T9JSNxOyUQA, Someone shows a first person view floating down the river.,"[59.3, 228.09]"
7,228.09,v_T9JSNxOyUQA, Various other people are shown in inner-tubes and canoes in the water.,"[94.66, 182.47]"
8,228.09,v_T9JSNxOyUQA, A few people are seen buying food from two women at a a concession stand.,"[143.7, 151.68]"
9,228.09,v_T9JSNxOyUQA, A man holds a young boy in a life vest who looks like he is sleeping.,"[166.51, 212.12]"
0,162.35,v_-YjGbsbDoxs,"A lady named Linda, creator of Paint Along is demonstrating how to do an acrylic painting.","[11.36, 127.45]"
1,162.35,v_-YjGbsbDoxs, She starts with a one inch flat brush and yellow and white acrylic paint.,"[18.67, 127.45]"
2,162.35,v_-YjGbsbDoxs, She makes X patterns across the canvas with the yellow color.,"[37.34, 127.45]"
3,162.35,v_-YjGbsbDoxs, She continues the same pattern on the top part of the canvas.,"[43.84, 127.45]"
4,162.35,v_-YjGbsbDoxs, Then she draws straight lines across the canvas with an orange color.,"[60.88, 127.45]"
5,162.35,v_-YjGbsbDoxs, She then takes a liner brush to do some finer detailing on the painting such as branches of a tree.,"[108.78, 127.45]"
6,162.35,v_-YjGbsbDoxs, She takes a flatter brush to demonstrate a dabbing technique with excess paint to show flower petals.,"[123.39, 155.86]"
7,162.35,v_-YjGbsbDoxs, She ends the video with the abstract painting technique.,"[153.42, 155.86]"
0,40.47,v_p800u2wCKbE,A news reporter is talking about a local fund raiser held by a nursery school.,"[3.84, 8.7]"
1,40.47,v_p800u2wCKbE, There are several people gathered to support the cause.,"[8.7, 13.96]"
2,40.47,v_p800u2wCKbE, There is a lemonade stand set up where people are purchasing lemonade to donate money for a cause.,"[13.96, 33.19]"
3,40.47,v_p800u2wCKbE, One of the parents is talking to the news reporter about the fund raiser.,"[33.19, 36.83]"
4,40.47,v_p800u2wCKbE, Three more parents are standing are chatting as they sip lemonade.,"[36.83, 39.46]"
5,40.47,v_p800u2wCKbE," A picture the girl, Hannah is shown for whom the fund raiser was held.","[39.46, 40.47]"
0,185.62,v_BfnM0eyjB5Q,A woman is giving instructions on how to install and adjust a saddle on a bike.,"[12.07, 27.84]"
1,185.62,v_BfnM0eyjB5Q, She uses a Allen key wrench to loosen up the bolt.,"[27.84, 46.41]"
2,185.62,v_BfnM0eyjB5Q, Then she demonstrates how she can move the saddle after she loosens it.,"[46.41, 62.18]"
3,185.62,v_BfnM0eyjB5Q, She hits it with her hand to push the jammed saddle.,"[62.18, 82.6]"
4,185.62,v_BfnM0eyjB5Q, Then she shows how to adjust the saddle by moving it back and forth.,"[82.6, 103.95]"
5,185.62,v_BfnM0eyjB5Q, She later demonstrates how to remove the saddle off.,"[103.95, 119.73]"
6,185.62,v_BfnM0eyjB5Q, She puts the new one on and then uses tools to tighten it back on.,"[119.73, 133.65]"
7,185.62,v_BfnM0eyjB5Q, She uses a screwdriver to tighten the screws and adjust the level.,"[133.65, 151.28]"
8,185.62,v_BfnM0eyjB5Q, She then shows another saddle and demonstrates how to tighten the bolts to adjust the level of the saddle.,"[151.28, 181.91]"
9,185.62,v_BfnM0eyjB5Q, She shows how to tighten the bolt to make sure the saddle fits snugly.,"[181.91, 185.62]"
0,178.21,v_-Xl95IW5H_s,This is a tutorial on how to start a campfire.,"[10.69, 16.04]"
1,178.21,v_-Xl95IW5H_s, It shows the campfire burning on the ground.,"[16.04, 22.28]"
2,178.21,v_-Xl95IW5H_s, It starts with the things you will need to begin with.,"[22.28, 27.62]"
3,178.21,v_-Xl95IW5H_s, A designated place and some rocks arranged in a circle to create a pit.,"[27.62, 32.97]"
4,178.21,v_-Xl95IW5H_s, Some crumpled newspaper and a lighter along with a bucket of water.,"[32.97, 70.39]"
5,178.21,v_-Xl95IW5H_s, A man begins demonstrating how to place the newspaper and twigs on top of that.,"[70.39, 81.98]"
6,178.21,v_-Xl95IW5H_s, He then creates a pyramid shaped structure.,"[81.98, 93.56]"
7,178.21,v_-Xl95IW5H_s, He takes his lighter and lights the newspaper in several places to start the fire.,"[93.56, 116.73]"
8,178.21,v_-Xl95IW5H_s, The bonfire starts burning and continues to burn.,"[116.73, 139.01]"
9,178.21,v_-Xl95IW5H_s, He adds a few more twigs to keep the flames burning.,"[139.01, 139.9]"
0,85.22,v_maXU1lGguxs,A beautiful young woman holding a violin in hand begins to motion back and forth against the strings with the bow to play a song that she has practiced.,"[0, 9.8]"
1,85.22,v_maXU1lGguxs, The nicely dressed woman in black with white sleeves continues playing and smiling intermittently while eloquently holding down different chords and notes in the corner of the room next to a piano dancing back and forth as she plays.,"[9.8, 76.7]"
2,85.22,v_maXU1lGguxs, The woman stops playing and smiles once more before walking out of view of the camera putting the violin down and ending the song.,"[76.7, 85.22]"
0,187.39,v_R4ES1QLRvtg,A person in dark winter gear is using a shovel to shovel the walkway of a parking garage.,"[23.42, 53.41]"
1,187.39,v_R4ES1QLRvtg, It is night time and the street is dimly lit with the street lights.,"[53.41, 113.37]"
2,187.39,v_R4ES1QLRvtg, He continues shoveling the entire pathway while several cars drive by on the main road nearby.,"[113.37, 149.91]"
3,187.39,v_R4ES1QLRvtg,He picks up the up snow and piles it up on the corner.,"[149.91, 177.08]"
4,187.39,v_R4ES1QLRvtg," After he finishes, he walks away.","[177.08, 187.39]"
0,111.6,v_jafEh82XETQ,A man is demonstrating how to cook a friend bologna sandwich in his kitchen.,"[9.49, 16.74]"
1,111.6,v_jafEh82XETQ, He takes two slices of sandwich bread and puts them in the toaster.,"[16.74, 21.2]"
2,111.6,v_jafEh82XETQ, Then he takes a little butter and bologna in a frying pan and fries it.,"[21.2, 26.23]"
3,111.6,v_jafEh82XETQ, He flips the bologna to fry it on both sides.,"[26.23, 55.8]"
4,111.6,v_jafEh82XETQ, Then he takes two slices of American cheese.,"[55.8, 66.4]"
5,111.6,v_jafEh82XETQ, He takes the bologna out of the pan and places it on the toast along with the cheese slices.,"[66.4, 94.86]"
6,111.6,v_jafEh82XETQ, He shows the finished sandwich with the bologna and cheese.,"[94.86, 104.34]"
0,17.0,v_5Bo0gFXxDQk,A person wearing a blue shirt is sitting on the floor welding.,"[1.02, 3.06]"
1,17.0,v_5Bo0gFXxDQk, He is wearing protective gear to cover his face and eyes.,"[3.06, 6.88]"
2,17.0,v_5Bo0gFXxDQk, He also has protective gloves on that are brown in color.,"[6.88, 12.24]"
3,17.0,v_5Bo0gFXxDQk, He continues welding a long metal rod with welding tool directed towards the rod.,"[12.24, 12.75]"
0,215.55,v_hmT9H0IjiGs,A man wearing a white hat is demonstrating how to make a Caribbean drink.,"[14.01, 46.34]"
1,215.55,v_hmT9H0IjiGs, He shows a bowl filled with citrus fruits.,"[46.34, 63.59]"
2,215.55,v_hmT9H0IjiGs, He takes a lemon juicer and some lemons and limes and oranges.,"[63.59, 85.14]"
3,215.55,v_hmT9H0IjiGs, He then juices the oranges and lemon on the juicer.,"[85.14, 106.7]"
4,215.55,v_hmT9H0IjiGs, He then empties the juice a large cocktail bowl.,"[106.7, 132.56]"
5,215.55,v_hmT9H0IjiGs, He adds rum to the juice along with some vanilla extract.,"[132.56, 151.96]"
6,215.55,v_hmT9H0IjiGs, He also mixes in sugar and rum and whisks the drink.,"[151.96, 172.44]"
7,215.55,v_hmT9H0IjiGs, He finally adds a bowl full of water and stirs it well.,"[172.44, 195.07]"
8,215.55,v_hmT9H0IjiGs, He pours the beverage in cocktail glasses and places it on the kitchen counter.,"[195.07, 205.85]"
0,127.32,v_97McCuWAynA,A surfer wearing a wet suit takes off and rides a wave in the ocean.,"[0, 5.73]"
1,127.32,v_97McCuWAynA, Two surfers is greeted by a seal in the ocean that jumps on his board and plays with them.,"[6.37, 112.67]"
2,127.32,v_97McCuWAynA, The surfer wearing a wet suit takes off on a wave leaving the seal behind.,"[113.31, 127.32]"
0,136.37,v_WEohpavjsIY,A pair of dancer begins preforming at the latin dance cup.,"[0, 27.96]"
1,136.37,v_WEohpavjsIY, The woman shows off cleavage.,"[27.27, 36.14]"
2,136.37,v_WEohpavjsIY, The dancers begin spinning around each other.,"[40.23, 99.55]"
3,136.37,v_WEohpavjsIY, The dancers begin to preform seperately.,"[98.87, 118.64]"
4,136.37,v_WEohpavjsIY, The dancers begins moving again together for a big finish.,"[120.69, 136.37]"
0,214.44,v_IGcsVPa34Hc,A small girl is making cookies with her mother in her kitchen.,"[17.15, 36.45]"
1,214.44,v_IGcsVPa34Hc, She wants her mom to pretend that she is Santa Claus.,"[36.45, 47.18]"
2,214.44,v_IGcsVPa34Hc, The laughs and rolls the cookie dough on the cutting board.,"[47.18, 65.4]"
3,214.44,v_IGcsVPa34Hc, The mother opens the oven and puts the tray full of cookie dough into the oven for baking.,"[65.4, 167.26]"
4,214.44,v_IGcsVPa34Hc," The mother then takes the cookie cutter and makes some more cookies for baking, Then both mother and daughter go through the cookie recipe as they place the cookie dough on the tray.","[167.26, 181.2]"
5,214.44,v_IGcsVPa34Hc," After the cookies are baked, they decorate the cookies with sprinkles and frosting.","[181.2, 203.72]"
6,214.44,v_IGcsVPa34Hc, The girl proudly shows the finished cookie after it's done.,"[203.72, 211.22]"
0,158.35,v_gSeE_Ms-2TI,A man is seen kneeling down on a roof and speaking to the camera.,"[0, 39.59]"
1,158.35,v_gSeE_Ms-2TI, The camera pans all around the roof while the man is seen sitting and still speaking.,"[38.8, 118.76]"
2,158.35,v_gSeE_Ms-2TI, The camera pans all around the roof and shows the man still sitting.,"[120.35, 153.6]"
0,231.25,v_rhOtqArO-3Y,The video shows a canopy representing the Eastern Mountain Sports event.,"[0, 12.72]"
1,231.25,v_rhOtqArO-3Y, Several players are getting ready for the sporting event in an outdoor setting on a bright sunny day.,"[12.72, 37]"
2,231.25,v_rhOtqArO-3Y, There is a boy balancing on a tight rope.,"[37, 76.31]"
3,231.25,v_rhOtqArO-3Y, There are several other contestants walking on the tight rope.,"[76.31, 137.59]"
4,231.25,v_rhOtqArO-3Y, Several people watch the contestants perform.,"[137.59, 173.44]"
5,231.25,v_rhOtqArO-3Y, Two people are playing with a Frisbee as one person walks on the rope.,"[173.44, 150.31]"
6,231.25,v_rhOtqArO-3Y, A girl and boy try the tight rope together.,"[150.31, 172.28]"
7,231.25,v_rhOtqArO-3Y, There are people enjoying themselves on a hammock.,"[172.28, 223.15]"
8,231.25,v_rhOtqArO-3Y, The end credits thank the people and organizers of the event.,"[223.15, 231.25]"
0,82.66,v_xr64cSwpNOM,A man competes in a strong man competition and stands on a log chopping it with an ax in hand.,"[0, 56.21]"
1,82.66,v_xr64cSwpNOM, The man finally splits the log below his feet.,"[56.62, 60.76]"
2,82.66,v_xr64cSwpNOM, A second man in the competition in vest picks up and drops a large spherical weight on a tire repeatedly.,"[57.04, 69.44]"
3,82.66,v_xr64cSwpNOM, A A man in red steps onto a log and receives an ax by a referee.,"[65.3, 82.66]"
0,226.21,v_xi4puZ1ulP4,A woman is seen with seen wearing a tanktop with introduction text.,"[0, 18.1]"
1,226.21,v_xi4puZ1ulP4, The woman have hair tied back and applies eye make up to eyes using various brushes and colors.,"[18.1, 73.52]"
2,226.21,v_xi4puZ1ulP4, The woman begins to puts eye liner on with a fine pencil.,"[73.52, 104.06]"
3,226.21,v_xi4puZ1ulP4, The women takes cloth ties out of here hair and lets her hair down which is now curled.,"[104.06, 149.3]"
4,226.21,v_xi4puZ1ulP4, The woman uses a comb and hairspray to straighten parts of here hair then ties it back.,"[149.3, 202.46]"
5,226.21,v_xi4puZ1ulP4, Messages of tex are shown on the end of the video.,"[212.64, 226.21]"
0,117.08,v_x99PS_O6JW8,A young man is talking to the camera outside while taking puffs off of a hookah.,"[2.34, 111.22]"
1,117.08,v_x99PS_O6JW8, He puts the pipe away and takes a swing out of an energy drink.,"[18.73, 24]"
2,117.08,v_x99PS_O6JW8, He moves the camera to show another man and continues smoking the hookah next to the other man.,"[29.27, 105.37]"
3,117.08,v_x99PS_O6JW8, Both look into the camera while smoking and the boy still continues drinking the energy drink.,"[37.46, 111.22]"
0,158.18,v_lVMMPkvnid8,Team of Bolivian bowlers get ready to start bowling by practicing a technique taught by Jason Belmont by putting two fingers in the holes and using two hands to spin the ball.,"[0, 28.47]"
1,158.18,v_lVMMPkvnid8, The young amateur players begin to bowl using the two handed technique.,"[28.47, 77.51]"
2,158.18,v_lVMMPkvnid8, The president of the Bowling Federation Marcelo Garafulic is introduced.,"[77.51, 100.44]"
3,158.18,v_lVMMPkvnid8, The announcer begins explaining how the team of Bolivian bowlers are training and more practice is shown.,"[101.23, 117.84]"
4,158.18,v_lVMMPkvnid8, Garafulic starts to explain clinics and the medals they have won breaking perfect games.,"[129.7, 143.94]"
5,158.18,v_lVMMPkvnid8, The bowlers are shown practicing once again.,"[143.94, 158.18]"
0,85.17,v_EsVxUf4Ae2c,A man is standing on ice with his pole standing straight up beside him.,"[0, 7.67]"
1,85.17,v_EsVxUf4Ae2c, The man grabs his fishing pole and starts fishing in the hole in the ice.,"[7.67, 31.94]"
2,85.17,v_EsVxUf4Ae2c, The man appears to have caught something and kneels down to pull his fishing line by hand.,"[31.94, 50.25]"
3,85.17,v_EsVxUf4Ae2c, The man pulls a fish out of the water and poses with it.,"[50.25, 61.32]"
4,85.17,v_EsVxUf4Ae2c, The man unhooks the hook from the fish's mouth.,"[61.32, 73.67]"
5,85.17,v_EsVxUf4Ae2c, The man kisses the fish and releases it back into the hole.,"[73.67, 85.17]"
0,115.47,v_mQHY2uMOMP4,"The video instructor, Stephanie is talking about a hair tutorial.","[8.08, 15.01]"
1,115.47,v_mQHY2uMOMP4, She is demonstrating how to cut long hair on men.,"[15.01, 25.98]"
2,115.47,v_mQHY2uMOMP4, Her model is seated in a chair next to her as she combs his wet hair.,"[25.98, 41.57]"
3,115.47,v_mQHY2uMOMP4, She shows how the hair is parted and sectioned before cutting the hair She uses scissors to point cut the tips of the model's hair.,"[41.57, 86.03]"
4,115.47,v_mQHY2uMOMP4, She continues the procedure on the model's hair.,"[86.03, 100.46]"
5,115.47,v_mQHY2uMOMP4, She then explains how to blow dry the hair to get the finished look on the model.,"[100.46, 110.85]"
6,115.47,v_mQHY2uMOMP4, She finally gives information about her website.,"[110.85, 115.47]"
0,43.58,v_M_LSDRzVN38,A blindfolded young woman swings a stick around wildly as a man holds a piñata high above her head on a string at a birthday party.,"[0, 15.04]"
1,43.58,v_M_LSDRzVN38, Then woman swings a few more times as the man brings the piñata up and down with the attached string and as she does this knocks a piece of the piñata off and a few kids gather round her to see if any candy fell out.,"[15.04, 32.91]"
2,43.58,v_M_LSDRzVN38," The woman feels for the piñata a few times with the stick, but does not swing as kids continue to look up in amazement.","[32.91, 43.58]"
0,177.26,v_a2vaM_aRHv4,A list of ingredients is shown written in a list.,"[14.18, 17.73]"
1,177.26,v_a2vaM_aRHv4, Glass bowls are set on a counter with various ingredients for a dish.,"[18.61, 20.39]"
2,177.26,v_a2vaM_aRHv4, A person measures and cuts parchment paper using a cooking tin as a guide.,"[20.39, 52.29]"
3,177.26,v_a2vaM_aRHv4, The person measures ingredients in a glass bowl then adds them to an electric mixer to blend.,"[53.18, 99.27]"
4,177.26,v_a2vaM_aRHv4, The person brushes on oil to the parchment paper then sets it into a cooking tin.,"[100.15, 116.99]"
5,177.26,v_a2vaM_aRHv4, The tins are added to an oven to cook.,"[120.54, 130.29]"
6,177.26,v_a2vaM_aRHv4, The tins are shown fully cooked and then flipped over to empty cake onto table.,"[123.2, 132.06]"
7,177.26,v_a2vaM_aRHv4, The parchment paper is peeled off the cake.,"[139.15, 144.47]"
8,177.26,v_a2vaM_aRHv4, The cake is sliced into loaves with a serrated knife.,"[150.67, 160.42]"
9,177.26,v_a2vaM_aRHv4, The cake is seen on plates for serving.,"[165.74, 170.17]"
0,17.04,v_XnctHnlJB4g,A man in red stands on a stage.,"[0, 17.04]"
1,17.04,v_XnctHnlJB4g, He lifts a barbell over his head.,"[5.03, 15.25]"
2,17.04,v_XnctHnlJB4g, He drops the barbell on the ground.,"[14.83, 15.94]"
3,17.04,v_XnctHnlJB4g, Several people cheer him on.,"[16.53, 17.04]"
0,234.52,v_5DhbyYavYp4,There is a garden with many trees and shrubs.,"[12.9, 35.18]"
1,234.52,v_5DhbyYavYp4, There is a man using a hedging and trimming equipment trimming the bushes.,"[35.18, 48.08]"
2,234.52,v_5DhbyYavYp4, Another man is giving instructions on lawn and garden care.,"[48.08, 87.95]"
